Match_Number,Red_1,Red_2,Red_3,Blue_1,Blue_2,Blue_3
1,5460,340,234,5406,1720,6443
2,88,1690,33,548,364,2168
3,2614,3707,48,2481,319,4776
4,2337,1410,868,51,5801,5511
5,195,225,4265,3357,7457,217
6,3641,3538,1241,111,1684,910
7,4607,2468,5205,4362,1718,1676
8,4028,1747,107,118,3604,2403
9,330,1114,1923,2910,2056,3940
10,3478,1073,1024,3847,461,1807
11,2075,5010,1730,1023,2767,930
12,5190,2337,2468,234,7498,225
13,1720,340,111,217,1747,2481
14,910,4776,3940,107,1676,88
15,1241,7457,319,5205,1073,5801
16,1024,1923,5010,4362,868,118
17,2614,4028,3847,364,930,3641
18,1114,3538,3604,1410,2075,548
19,6443,5511,3707,1023,3357,33
20,7498,1718,1730,3478,5406,2910
21,1807,1690,2056,5460,51,195
22,48,2168,5190,2767,4265,1684
23,330,461,364,2403,4607,3538
24,340,7457,1023,2337,1024,2614
25,2468,88,1114,1747,319,1073
26,1923,107,930,1718,3707,51
27,2075,195,2910,5190,33,4028
28,5205,118,1730,1720,3641,868
29,1684,1807,2481,5010,234,4362
30,3478,217,461,6443,1676,548
31,2767,5511,2403,4265,5406,1690
32,5801,3940,5460,3604,111,48
33,3357,330,2168,7498,1241,4776
34,3847,4607,2056,910,1410,225
35,3707,1024,5205,548,195,3478
36,319,4028,1720,1807,4265,1923
37,1073,868,7457,1676,1690,111
38,461,2337,3641,3357,5460,5010
39,2403,88,2075,234,1241,3847
40,118,364,217,5406,1114,1023
41,3538,4362,3940,51,7498,340
42,2468,33,1410,2481,48,930
43,1684,107,5190,4607,330,1747
44,2056,2614,910,2910,1730,3604
45,1718,225,6443,2168,5801,2767
46,4776,5010,195,5511,3847,1114
47,930,7498,4265,340,5205,88
48,319,111,33,51,4607,2337
49,118,5190,1410,3940,1073,2614
50,4028,3357,1718,48,868,3538
51,3641,107,5406,2168,2075,1807
52,2403,1023,1720,5801,2468,3478
53,217,3604,2767,5511,234,330
54,1241,4362,461,1690,1730,3707
55,1024,5460,1676,1747,2910,225
56,364,6443,2481,1923,910,7457
57,4776,1684,1073,2056,548,1720
58,2075,111,107,5205,2614,7498
59,4362,3478,330,4028,1410,88
60,48,225,1690,5010,3604,5406
61,1114,910,3357,930,2168,1024
62,4265,2481,51,548,1241,118
63,2056,2468,7457,3940,2767,461
64,217,3847,1718,5460,33,1684
65,195,4607,5801,234,4776,1923
66,1023,3641,5511,5190,319,1676
67,868,2910,340,3707,2403,364
68,1730,6443,2337,1747,1807,3538
69,2614,1720,4362,225,1114,1241
70,111,4265,548,5010,330,2468
71,2481,1023,3604,195,88,1718
72,340,2056,3357,3847,5190,5801
73,1676,1730,1410,1923,1684,2403
74,2168,5511,1747,7457,461,2075
75,3538,1024,319,1690,217,107
76,2767,118,3478,4776,2337,364
77,1807,3940,234,33,5205,868
78,7498,3707,5460,1073,910,4028
79,2910,48,4607,3641,51,6443
80,5406,548,1747,930,3357,4362
81,1241,1923,2168,3604,340,2468
82,225,5205,5190,461,2481,1114
83,364,234,1073,107,1718,5511
84,910,48,195,2337,1720,330
85,3707,5010,3641,2056,2403,217
86,7498,3847,1684,6443,118,1690
87,1730,4028,51,7457,4776,1024
88,88,2910,2767,1410,1807,111
89,319,3478,4607,3940,930,2075
90,5801,1676,5406,33,3538,2614
91,4265,1023,107,868,5460,2056
92,1114,548,234,7457,3641,48
93,111,2403,4776,1024,6443,5190
94,1807,118,910,1718,2075,340
95,33,1747,1241,1410,3478,5010
96,3604,4362,2337,1073,2910,4265
97,868,5406,7498,461,195,319
98,2468,51,3357,1684,364,5205
99,88,217,2168,1730,2614,4607
100,1676,3940,3707,1720,2767,3847
101,1690,5801,1023,330,2481,4028
102,225,930,5460,3538,1923,5511
